번호,대상,구분,화면/기능명,기능 설명,비고
1,사용자,메인 화면,오늘의 챌린지 확인,"메인 화면 진입 시, 오늘의 체육관 관장과 그의 포켓몬 3마리(이미지, 이름, 타입) 정보를 확인할 수 있음. '도전하기' 버튼이 표시됨.",챌린지 내용은 매일 00시(KST) 기준 모든 유저에게 동일하게 제공됨
2,사용자,팀 선택,렌탈 포KE몬 확인,"도전하기' 선택 시, 해당일의 챌린지를 위해 무작위로 주어지는 6마리의 '렌탈 포켓몬' 목록을 확인. 각 포켓몬의 이미지, 이름, 타입, 보유 기술 4개 확인 가능.",초기 포켓몬 풀은 1세대 151마리로 한정. 렌탈 목록은 날짜 기반으로 생성되어 모든 유저가 동일.
3,사용자,팀 구성,"6마리의 렌탈 포켓몬 중 3마리를 클릭하여 자신의 배틀 팀으로 구성. 선택한 포켓몬은 하단의 '나의 팀' 슬롯으로 이동하며, 재클릭 시 선택 해제 가능.",3마리를 모두 선택해야 '배틀 시작' 버튼이 활성화됨.,
4,사용자,배틀,턴제 배틀 진행,1대1 턴제 방식으로 배틀 진행. 한쪽 포켓몬이 기절하면 다음 포켓몬 선택,턴 순서는 필드 위 두 포켓몬의 '스피드' 스탯으로 결정됨.
5,사용자,기술 선택,공격,공격 기술만 구현,
6,사용자,데미지 처리 (HP),기술 사용,"데미지 공식 구현 완료. 레벨, 공격/방어 스탯, 타입 상성, 자속 보정(STAB) 등을 포함한 표준 데미지 계산식 적용.",
7,사용자,승패 처리,한쪽 플레이어의 포켓몬 3마리가 모두 '기절'(HP=0) 상태가 되면 배틀이 종료되고 승패가 결정됨.,,
8,사용자,결과,결과 확인,승리 또는 패배 결과를 텍스트와 함께 표시.,
9,사용자,재도전 버튼,"결과 화면에 '다시 도전하기' 버튼을 표시함. 버튼 클릭 시, 팀 선택 화면으로 돌아가 동일한 챌린지를 다시 시작할 수 있음.",승패 여부 관계없이 버튼 활성화,
10,사용자,다음 챌린지 카운트다운,다음 날의 챌린지가 시작되기까지 남은 시간을 '00:00:00' 형태로 표시함.,,
11,사용자,결과 공유,"'결과 공유하기' 버튼 클릭 시, 클립보드에 챌린지 결과 텍스트가 복사되는 기능 구현 완료.",,
12,사용자,공통/기타,매일 리셋,"매일 00시(KST)에 오늘의 관장, 렌탈 포켓몬 등 모든 챌린지 내용이 초기화됨.",별도 서버 없이 클라이언트의 시간 정보를 기준으로 동작.
13,사용자,재도전 ,결과 화면의 '다시 도전하기' 버튼 또는 브라우저 새로고침을 통해 챌린지를 다시 시도할 수 있음.,재도전 시에도 당일의 관장과 렌탈 포켓몬 목록은 변경되지 않음.,
